MID,LEFT,RIGHT
3315,2888,2615
3321,2893,2616
3322,2889,2617
3324,2890,2617
3322,2890,2615
3327,2891,2616
3327,2892,2618
3333,2888,2617
3326,2889,2616
3324,2885,2615
3324,2886,2612
3322,2883,2611
3322,2880,2607
3319,2879,2601
3310,2873,2594
3313,2866,2590
3314,2861,2587
3317,2856,2584
3317,2856,2581
3313,2852,2577
3309,2850,2570
3301,2843,2570
3297,2837,2573
3293,2836,2577
3286,2837,2583
3287,2842,2590
3285,2846,2596
3286,2845,2598
3283,2848,2602
3283,2848,2604
3285,2851,2603
3283,2851,2601
3285,2849,2595
3285,2845,2588
3281,2839,2567
3285,2832,2550
3286,2825,2540
3289,2817,2533
3293,2818,2531
3299,2815,2534
3307,2813,2533
3306,2811,2536
3307,2809,2539
3304,2810,2542
3298,2808,2545
3296,2807,2545
3294,2806,2543
3287,2805,2539
3285,2810,2535
3284,2814,2530
3284,2818,2523
3281,2821,2514
3282,2816,2501
3284,2811,2491
3282,2803,2483
3288,2797,2483
3290,2793,2487
3291,2786,2492
3291,2784,2496
3286,2784,2496
3278,2787,2489
3267,2788,2485
3260,2789,2479
3252,2792,2472
3245,2794,2465
3249,2798,2459
3251,2800,2451
3252,2798,2445
3253,2798,2441
3251,2794,2439
3252,2790,2437
3250,2792,2438
3249,2791,2435
3246,2790,2436
3239,2789,2435
3240,2789,2436
3239,2789,2439
3242,2787,2441
3245,2787,2447
3247,2782,2451
3249,2779,2451
3248,2776,2449
3250,2772,2441
3252,2770,2433
3248,2762,2426
3248,2758,2419
3244,2758,2410
3237,2757,2407
3242,2762,2402
3242,2762,2397
3241,2759,2391
3236,2761,2389
3230,2764,2383
3228,2771,2387
3226,2771,2383
3232,2773,2381
3233,2772,2382
3229,2765,2382
3230,2765,2385
3221,2763,2387
3219,2759,2385
3212,2758,2380
3211,2753,2371
3210,2753,2362
3208,2748,2357
3210,2745,2354
3210,2743,2355
3209,2738,2352
3208,2739,2351
3204,2737,2349
3203,2735,2349
3191,2739,2353
3185,2740,2351
3179,2750,2345
3170,2755,2338
3166,2762,2331
3162,2765,2329
3161,2762,2321
3164,2762,2320
3166,2759,2317
3171,2753,2319
3169,2755,2322
3171,2750,2326
3173,2746,2328
3172,2740,2328
3173,2732,2327
3167,2730,2328
3157,2728,2323
3151,2734,2319
3143,2735,2315
3142,2733,2309
3131,2736,2304
3126,2733,2299
3124,2736,2294
3119,2735,2295
3119,2738,2301
3119,2740,2303
3111,2739,2305
3114,2739,2312
3113,2737,2316
3115,2738,2317
3107,2745,2318
3103,2751,2317
3099,2761,2319
3095,2761,2320
3097,2764,2321
3095,2768,2322
3091,2769,2313
3090,2773,2305
3084,2774,2298
3085,2770,2292
3072,2767,2289
3065,2760,2286
3059,2762,2283
3052,2754,2283
3051,2751,2285
3049,2749,2296
3046,2743,2299
3049,2740,2307
3049,2738,2312
3055,2736,2315
3052,2740,2318
3057,2738,2316
3060,2740,2316
3060,2735,2314
3062,2735,2311
3060,2737,2308
3054,2737,2301
3054,2741,2295
3046,2738,2291
3045,2736,2278
3032,2741,2278
3021,2745,2282
3015,2755,2287
3005,2752,2295
3003,2754,2302
3001,2752,2313
2995,2751,2315
3001,2753,2319
3003,2754,2322
3014,2752,2321
3012,2759,2325
3011,2760,2317
3013,2768,2313
3010,2766,2310
3013,2768,2308
3011,2772,2312
3008,2775,2315
3010,2778,2313
3009,2782,2317
3016,2783,2320
3008,2790,2326
3005,2792,2336
3001,2798,2343
2994,2796,2350
2992,2800,2354
2984,2801,2357
2975,2802,2350
2973,2803,2348
2967,2803,2342
2970,2797,2337
2961,2801,2332
2964,2802,2326
2970,2809,2323
2976,2805,2323
2987,2807,2321
2993,2811,2323
2994,2810,2318
3003,2815,2319
3005,2813,2318
3011,2806,2317
3003,2804,2320
3003,2799,2323
3002,2804,2322
2997,2801,2334
2996,2802,2341
2990,2805,2348
2985,2807,2343
2988,2815,2342
2985,2821,2341
2992,2824,2332
2980,2830,2333
2976,2831,2329
2973,2837,2324
2968,2832,2323
2966,2833,2324
2964,2835,2331
2960,2837,2329
2966,2841,2332
2965,2843,2337
2974,2843,2342
2968,2850,2348
2968,2853,2351
2967,2864,2351
2965,2862,2355
2969,2865,2356
2969,2868,2364
2966,2866,2364
2970,2866,2369
2966,2866,2369
2972,2869,2370
2969,2876,2372
2966,2872,2375
2969,2877,2376
2969,2870,2378
2972,2868,2378
2972,2867,2380
2971,2867,2373
2971,2864,2375
2972,2866,2377
2982,2867,2377
2979,2873,2381
2980,2874,2384
2983,2883,2383
2982,2878,2388
2982,2882,2391
2980,2885,2399
2974,2886,2396
2978,2888,2396
2977,2885,2399
2982,2879,2395
2972,2880,2392
2971,2878,2384
2973,2885,2380
2974,2881,2381
2979,2884,2379
2981,2890,2387
2977,2889,2380
2982,2894,2385
2984,2897,2392
2993,2897,2400
2989,2905,2407
2990,2911,2412
2989,2922,2414
2993,2922,2419
2998,2923,2423
3000,2923,2433
2998,2921,2431
3008,2922,2431
3014,2918,2426
3026,2910,2422
3026,2907,2420
3033,2900,2416
3039,2901,2410
3040,2896,2408
3038,2896,2405
3031,2895,2407
3016,2893,2400
3013,2895,2397
3006,2895,2394
3006,2891,2390
2997,2893,2388
2996,2896,2388
2996,2905,2388
2997,2905,2395
3001,2908,2403
3003,2909,2414
3003,2909,2415
3012,2909,2423
3017,2908,2419
3025,2902,2418
3022,2899,2418
3023,2892,2418
3024,2890,2418
3026,2877,2420
3026,2869,2418
3031,2869,2421
3029,2869,2420
3035,2872,2424
3036,2876,2427
3046,2879,2423
3042,2890,2430
3047,2898,2427
3048,2910,2428
3050,2913,2432
3053,2918,2436
3056,2922,2442
3053,2928,2438
3056,2936,2442
3060,2943,2441
3067,2947,2437
3062,2957,2433
3061,2961,2429
3063,2970,2433
3062,2962,2433
3064,2959,2440
3062,2954,2451
3059,2949,2458
3067,2948,2467
3071,2950,2470
3079,2948,2471
3078,2956,2471
3082,2957,2472
3083,2961,2471
3083,2958,2472
3089,2957,2473
3092,2955,2473
3091,2955,2469
3097,2957,2470
3095,2959,2470
3095,2961,2469
3087,2973,2471
3084,2981,2469
3080,2993,2470
3082,2998,2469
3084,3002,2464
3081,3005,2464
3075,3003,2464
3079,3001,2466
3078,2996,2472
3083,2990,2478
3083,2991,2485
3084,2992,2490
3086,2996,2493
3092,2999,2498
3097,2998,2498
3099,3003,2502
3100,3008,2502
3107,3016,2503
3111,3021,2506
3120,3018,2509
3122,3019,2515
3124,3017,2521
3119,3018,2522
3115,3014,2523
3113,3012,2518
3111,3012,2517
3108,3013,2519
3114,3020,2522
3116,3030,2527
3120,3034,2528
3121,3043,2529
3123,3044,2529
3123,3045,2530
